Term,Year,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Exercise,Greek,TV,GPA,Award,Pulse,Pierces,Gender,Sport,Tattoo,Facebook
F06,1,66inches,145 pounds,No,r,2,3,1,Planning,1,NA,Nobel,80,3,F,NA,NA,NA
F06,1,68inches,180 pounds,No,r,2,2,4,No,10,NA,Nobel,84,2,M,NA,NA,NA
F06,2,72inches,165 pounds,No,r,2,2,5,No,8,2.8,Olympic,57,0,M,NA,NA,NA
F06,1,69inches,145 pounds,No,r,2,1,NA,No,0,NA,Olympic,65,0,M,NA,NA,NA
F06,3,75inches,175 pounds,Occasionally,r,0,1,3,No,4,3.2,Nobel,61,0,M,NA,NA,NA
F06,1,66inches,150 pounds,No,l,1,2,12,No,4,NA,Olympic,74,3,F,NA,NA,NA
F06,2,61inches,115 pounds,No,r,1,2,3,No,5,3.07,Olympic,78,5,F,NA,NA,NA
F06,1,74inches,190 pounds,No,l,1,2,2,No,0,NA,Nobel,74,0,M,NA,NA,NA
F06,2,63inches,104 pounds,No,r,2,1,8,No,2,3.5,Academy,71,2,F,NA,NA,NA
F06,3,67inches,125 pounds,No,r,5,4,2,Yes,3,3.1,Olympic,70,2,F,NA,NA,NA
F06,2,70inches,165 pounds,Regular,r,3,2,3,No,5,3.25,Academy,77,0,M,NA,NA,NA
F06,2,67inches,138 pounds,No,r,1,1,6,No,3,3.1,Olympic,58,2,F,NA,NA,NA
F06,4,68inches,140 pounds,No,r,0,1,6,No,5,3.6,Nobel,78,2,F,NA,NA,NA
F06,1,63inches,110 pounds,No,r,1,1,7,No,3,NA,Olympic,90,2,F,NA,NA,NA
F06,2,63inches,145 pounds,No,r,4,5,3,No,3,3.6,Nobel,81,5,F,NA,NA,NA
F06,2,66inches,130 pounds,No,r,2,1,10,No,15,NA,Olympic,77,6,F,NA,NA,NA
F06,3,NAinches,NA pounds,No,r,2,3,3,Yes,14,3,Academy,65,2,F,NA,NA,NA
F06,4,67inches,123 pounds,Regular,r,1,1,0,No,14,3.29,Nobel,67,4,F,NA,NA,NA
F06,2,66inches,145 pounds,No,r,1,2,NA,No,4,3.75,Olympic,63,0,M,NA,NA,NA
F06,4,69inches,233 pounds,No,l,1,1,3,No,1,3.78,Nobel,72,0,M,NA,NA,NA
F06,2,76inches,189 pounds,No,r,3,2,5,No,6,3.3,Olympic,64,1,M,NA,NA,NA
F06,2,74inches,180 pounds,No,r,1,1,30,No,10,3.45,Olympic,69,0,M,NA,NA,NA
F06,2,74inches,195 pounds,No,r,4,2,14,No,4,2.7,Olympic,62,0,M,NA,NA,NA
F06,2,72inches,150 pounds,No,l,2,1,8,No,3,3.1,Nobel,62,0,M,NA,NA,NA
F06,1,71inches,145 pounds,No,r,3,3,19,No,5,NA,Olympic,72,0,M,NA,NA,NA
F06,2,67inches,115 pounds,No,r,2,1,0,No,1,3.87,NA,61,6,F,NA,NA,NA
F06,3,66inches,140 pounds,No,r,1,2,3,No,1,3.3,Olympic,74,2,F,NA,NA,NA
F06,2,64inches,120 pounds,No,r,1,1,20,Planning,2,2.9,Academy,71,2,F,NA,NA,NA
